"","ego","alter"
"1","Big Thicket Biosphere Reserve","Army Corps Of Engineers"
"2","Big Thicket Biosphere Reserve","Us Geological Survey"
"3","Big Thicket Biosphere Reserve","Lamar University"
"4","Big Thicket Biosphere Reserve","Texas Department Of Transportation"
"5","Big Thicket Natural Heritage Trust","Army Corps Of Engineers"
"6","Big Thicket Natural Heritage Trust","Lamar University"
"7","Big Thicket Natural Heritage Trust","Texas Department Of Transportation"
"8","Big Thicket Natural Heritage Trust","Texas Water Development Board"
"9","Big Thicket Natural Heritage Trust","Texas General Land Office"
"10","Big Thicket Natural Heritage Trust","Lower Neches Valley Authority"
"11","Big Thicket Natural Heritage Trust","Jefferson County Drainage District 6"
"12","Big Thicket Natural Heritage Trust","Floodplain Administrator Hardin County"
"13","FEMA","Army Corps Of Engineers"
"14","FEMA","Us Geological Survey"
"15","Floodplain Administrator Chambers County","Office Of Emergency Management Chambers County"
"16","Floodplain Administrator Chambers County","National Flood Insurance Program"
"17","Gulf Coast Protection District","Army Corps Of Engineers"
"18","Gulf Coast Protection District","Texas General Land Office"
"19","Gulf Coast Protection District","Texas Division Of Emergency Management"
"20","Gulf Coast Protection District","Jefferson County Drainage District 7"
"21","Gulf Coast Protection District","Orange County Drainage District"
"22","Jefferson County Drainage District 6","Army Corps Of Engineers"
"23","Jefferson County Drainage District 6","Trinity Bay Conservation District"
"24","Jefferson County Drainage District 6","Texas Department Of Transportation"
"25","Jefferson County Drainage District 6","Texas Parks And Wildlife Department"
"26","Jefferson County Drainage District 6","Texas Division Of Emergency Management"
"27","Jefferson County Drainage District 6","National Weather Service Lake Charles Office"
"28","Jefferson County Drainage District 6","Texas Water Development Board"
"29","Jefferson County Drainage District 6","Floodplain Manager Jefferson County"
"30","Jefferson County Drainage District 7","Army Corps Of Engineers"
"31","Jefferson County Drainage District 7","Texas Division Of Emergency Management"
"32","Jefferson County Drainage District 7","Texas Commission On Environmental Quality"
"33","Jefferson County Drainage District 7","National Weather Service Lake Charles Office"
"34","Jefferson County Drainage District 7","Texas Water Development Board"
"35","Jefferson County Drainage District 7","Texas General Land Office"
"36","Lamar University","Army Corps Of Engineers"
"37","Lamar University","Lower Neches Valley Authority"
"38","Lamar University","The Sabine River Authority Of Texas"
"39","Lower Neches Valley Authority","Army Corps Of Engineers"
"40","Lower Neches Valley Authority","Us Geological Survey"
"41","Lower Neches Valley Authority","Texas Parks And Wildlife Department"
